Height_m
1.60
1.65
1.65
1.53
1.45
1.61
1.56
1.50
1.52
1.48
1.47
1.55
1.52
1.54
1.46
1.52
1.46
1.58
1.52
1.50
1.49
1.48
1.59
1.56
1.58
1.57
1.50
1.52
1.44
1.49
1.46
1.50
1.56
1.53
1.45
1.63
1.42
1.38
1.45
1.50
1.49
1.45
1.33
1.37
1.55
1.45
1.47
1.59
1.44
1.60
1.58
1.42
1.55
1.64
1.49
1.55
1.42
1.62
1.66
1.47
1.49
1.53
1.59
1.57
1.43
1.61
1.55
1.47
1.50
1.66
1.42
1.50
1.35
1.42
1.47
1.52
1.46
1.46
1.42
1.47
1.47
1.59
1.49
1.49
1.60
1.42
1.40
1.45
